IdPoi,nombre,localizacion,fbd,IdPueblo,IdUsuario,etiquetas
153,Fuente la Teta,0xE6100000010C5A4B0169FFA318C05915E126A3D84440,2012-02-18 16:47:26.970,42,4609,NULL
154,Puente del Caño,0xE6100000010CAAB8718BF9A918C0C5C6BC8E38D84440,2012-02-18 16:50:35.480,42,4609,NULL
155,Fuente del Caño,0xE6100000010C295E656D53AC18C0D2E3F736FDD74440,2012-02-18 16:52:23.430,42,4609,NULL
156,Gravera de las Llameras,0xE6100000010CA1BFD023469F18C01E51A1BAB9D84440,2012-02-18 16:54:12.037,42,4609,NULL
157,Alto el Pielago,0xE6100000010C113AE8120E9D18C0B3EC496073D84440,2012-02-18 16:55:28.820,42,4609,NULL
158,Fuente Herrada de la Veiga,0xE6100000010C82531F48DE9918C04834812216D94440,2012-02-18 16:58:12.620,42,4609,NULL
159,"fuente las viñas ",0xE6100000010CA629029CDE9518C0B29E5A7D75DB4440,2012-02-18 20:41:43.193,65,NULL,"fuente "
160,"El Calvario ",0xE6100000010CF8A57EDE549418C010CAFB389ADB4440,2012-02-18 20:45:55.957,65,NULL,"Mirador con vistas al rio aliste , y merendero"
161,Molino de la zuda,0xE6100000010CE97DE36BCF5C19C0807F4A9528ED4440,2012-02-19 12:50:41.260,35,1,molinos
162,Peñas Marías,0xE6100000010C5C3CBCE7C08218C07BDB4C8578D44440,2012-02-19 14:58:12.997,42,4609,NULL
163,Fuente de Bermellino,0xE6100000010C04543882549A18C01F4C8A8F4FD44440,2012-02-19 15:00:32.953,42,4609,NULL
164,Fuente de la Viera,0xE6100000010CFCC8AD49B79518C04913EF004FD44440,2012-02-19 15:02:40.027,42,4609,NULL
165,Fuente de Tozalforno,0xE6100000010CD6E59480989418C08657923CD7D34440,2012-02-19 15:06:09.370,42,4609,NULL
166,Fuente del Maragato (Prao de Barrocal),0xE6100000010C30D7A205689B18C033C4B12E6ED34440,2012-02-19 15:08:41.417,42,4609,NULL
167,Cantera de pizarra,0xE6100000010C96404AECDAFE18C0232F6B6281E94440,2012-02-20 09:10:55.160,34,1,"canteras,pizarreras"
168,Curunda Cesarea,0xE6100000010C6397A8DE1A1819C0BBB88D06F0DE4440,2012-02-20 15:42:47.760,37,107,"Restos arqueológicos "
169,Iglesia,0xE6100000010CA8734529215819C02E20B41EBEEC4440,2012-02-21 08:44:58.980,35,1,"iglesia,cementerio"
170,Fuente del Cuco,0xE6100000010C274A42226DA318C04D1421753BD74440,2012-02-21 14:41:43.483,42,20212,NULL
171,Molino de la Veiga,0xE6100000010CE4688EACFCA218C040F7E5CC76D74440,2012-02-21 14:43:40.170,42,20212,NULL
172,Molino de los Alfonsos,0xE6100000010CED9925016AAA18C090696D1ADBD74440,2012-02-21 14:45:59.930,42,20212,NULL
173,Fuente Valdelvino,0xE6100000010C38656EBE11BD18C082FFAD64C7D64440,2012-02-21 18:09:41.230,42,4609,NULL
174,Iglesia,0xE6100000010C46072461DF3E19C0DF18028063EB4440,2012-02-22 08:39:40.150,25,1,Iglesias
